style_cd,style_category,style_description,diamond_wt,metal_typ,metal_wt,metal_amt,diamond_qty,diamond_qlty,total_diamond_wt,cstone_qty,cstone_wt,cstone_shape,metal_color,metal_size,gender,ring_type,chain_type,is_set,combined_text,earring_type,stud_subtype,setting,diameter,hoop_subtype,collection,image_url,original_row_count,hash,visual_id,unsure,source
BG196414KW7.5-42-S,BANGLE,1CTTW BANGLE BRACELET,1.056,14KT,9.5,762.19,48,HII1I2,1.056,0,0,,W,7.5,LADIES,,,FALSE,1CTTW BANGLE BRACELET,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG196414KW7.5-42-S.jpg,2,,,TRUE,SUMIT
BG198510KW,BANGLE,1/3 CTW RD CROSSES & BELL CHARMS BANGLE,0.304,10KT,7.75,403.78,54,,0.304,0,0,ROUND,W,0,LADIES,,,FALSE,1/3 CTW RD CROSSES & BELL CHARMS BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG198510KW.jpg,2,,,TRUE,SUMIT
BG198610PK,BANGLE,1/4 CTW RD PEACE/HEART CHARMS BANGLE,0.256,10KT,8.55,445.46,64,,0.256,0,0,ROUND,P,0,LADIES,,,FALSE,1/4 CTW RD PEACE/HEART CHARMS BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG198610PK.jpg,2,,,TRUE,SUMIT
BG198710KY,BANGLE,1/4 CTW RD TROPICAL CHARMS BANGLE,0.265,10KT,8.6,448.06,61,,0.265,0,0,ROUND,Y,0,LADIES,,,FALSE,1/4 CTW RD TROPICAL CHARMS BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG198710KY.jpg,2,,,TRUE,SUMIT
BG198810KW,BANGLE,1/4 CTW RD LOVE MUSIC CHARMS BANGLE,0.242,10KT,6.95,362.1,44,,0.242,0,0,ROUND,W,0,LADIES,,,FALSE,1/4 CTW RD LOVE MUSIC CHARMS BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG198810KW.jpg,1,,,TRUE,SUMIT
BG199010KY,BANGLE,1/3 CTW RD SOLAR SYSTEM CHARMS BANGLE,0.296,10KT,10.65,554.87,64,,0.296,0,0,ROUND,Y,0,LADIES,,,FALSE,1/3 CTW RD SOLAR SYSTEM CHARMS BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG199010KY.jpg,1,,,TRUE,SUMIT
BG199110PK,BANGLE,1/3 CTW RD COCKTAILS CHARMS BANGLE,0.3,10KT,8.35,435.04,60,,0.3,0,0,ROUND,P,0,LADIES,,,FALSE,1/3 CTW RD COCKTAILS CHARMS BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG199110PK.jpg,2,,,TRUE,SUMIT
BG199210KY,BANGLE,1/3 CTW RD LOVE CHARMS BANGLE,0.31,10KT,8.25,429.83,63,,0.31,0,0,ROUND,Y,0,LADIES,,,FALSE,1/3 CTW RD LOVE CHARMS BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG199210KY.jpg,1,,,TRUE,SUMIT
BG199310KW,BANGLE,1/3 CTW RD STRUCTURES CHARMS BANGLE,0.312,10KT,8.45,440.25,67,,0.312,0,0,ROUND,W,0,LADIES,,,FALSE,1/3 CTW RD STRUCTURES CHARMS BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG199310KW.jpg,1,,,TRUE,SUMIT
BG199410PK,BANGLE,1/4 CTW RD INFINITY CHARMS BANGLE,0.273,10KT,8.8,458.48,58,,0.273,0,0,ROUND,P,0,LADIES,,,FALSE,1/4 CTW RD INFINITY CHARMS BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG199410PK.jpg,1,,,TRUE,SUMIT
BG199714KW-21,BANGLE,BMR - 1 CTW RD/BAG BYPASS BANGLE EL,1,14KT,13.11,831.13,193,I I1,1,0,0,ROUND,W,7.25,LADIES,,,FALSE,BMR - 1 CTW RD/BAG BYPASS BANGLE EL,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG199714KW-21.jpg,6,af39e0e08786daca,af39e0e08786daca,FALSE,SUMIT
BG200214KW-44,BANGLE,3 CTW 3 ROWS DIA W/MILG BANGLE,2.967,14KT,20.55,1612.97,183,I I1,2.967,0,0,,W,0,LADIES,,,FALSE,3 CTW 3 ROWS DIA W/MILG BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG200214KW-44.jpg,1,,,TRUE,SUMIT
BG200814KW-BN,BANGLE,4 1/2CTTW RND & BUG BANGLE,4.5078,14KT,19.2,1540.42,147,,4.5078,0,0,ROUND,W,7.25,LADIES,,,FALSE,4 1/2CTTW RND & BUG BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG200814KW-BN.jpg,4,,,TRUE,SUMIT
